Pays,Densité (P/Km2),Terre agricole (%),Superficie des terres (Km2),Taille des forces armées,Taux de natalité,Capitale / Ville principale,Émissions de CO2,IPC,Changement de l'IPC (%),Taux de fécondité,Superficie forestière (%),Prix de l'essence,PIB,Taux brut de scolarisation primaire (%),Taux brut de scolarisation tertiaire (%),Mortalité infantile,Plus grande ville,Espérance de vie,Ratio de mortalité maternelle,Salaire minimum,Langue officielle,Dépenses de santé à la charge du patient,Médecins pour mille,Participation à la force de travail (%),Recettes fiscales (%),Taux d'imposition total,Taux de chômage,Latitude,Longitude,Population Urbaine,Population,Continent
Bosnie-Herzégovine,64.0,43,51,11.0,8.11,Sarajevo,21.848,105.0,1,1.27,43,105.0,20047848435.0,0,23,5.0,Tuzla Canton,77.3,10.0,104.0,Bosnian,29,2.16,46,20,24,18.42,43.915886,17.679076,1605144.0,3301000.0,Europe
Botswana,4.0,46,582,9.0,24.82,Gaborone,6.340,150.0,3,2.87,19,71.0,18340510789.0,103,25,30.0,Gaborone,69.3,144.0,29.0,English,5,0.37,71,20,25,18.19,-22.328474,24.684866,1616550.0,2346179.0,Afrique
Brésil,25.0,34,8.515.770,730.0,13.92,Bras,462.299,167.0,4,1.73,59,102.0,1839758040766.0,115,51,12.8,Sao Paulo,75.7,60.0,153.0,Portuguese,28,2.15,64,14,65,12.08,-14.235004,-51.92528,183241641.0,212559417.0,Amérique
Brunei,83.0,3,6,8.0,14.9,Bandar Seri Begawan,7.664,99.0,0,1.85,72,37.0,13469422941.0,103,31,9.8,Bandar,75.7,31.0,0.0,Malay,6,1.61,65,0,8,9.12,4.535277,114.727669,337711.0,433285.0,Asie
Bulgarie,64.0,46,111,31.0,8.9,Sofia,41.708,114.0,3,1.56,35,111.0,86000000000.0,89,71,5.9,Sofia,74.9,10.0,157.0,Bulgarian,48,4.03,55,20,28,4.34,42.733883,25.48583,5256027.0,6975761.0,Europe
Burkina Faso,76.0,44,274,11.0,37.93,Ouagadougou,3.418,107.0,-3,5.19,19,98.0,15745810235.0,96,6,49.0,Ouagadougou,61.2,320.0,34.0,French,36,0.08,66,15,41,6.26,12.238333,-1.561593,6092349.0,20321378.0,Afrique
Burundi,463.0,79,28,31.0,39.01,Bujumbura,495,182.0,-1,5.41,11,121.0,3012334882.0,121,6,41.0,Bujumbura,61.2,548.0,0.0,Kirundi,19,0.1,79,14,41,1.43,-3.373056,29.918886,1541177.0,11530580.0,Afrique
Côte d'Ivoire,83.0,65,322,27.0,35.74,Yamoussoukro,9.674,112.0,-1,4.65,33,93.0,58792205642.0,100,9,59.4,Abidjan,57.4,45.0,36.0,French,36,0.23,57,12,50,3.32,7.539989,-5.54708,13176900.0,25716544.0,Afrique
Cap-Vert,138.0,20,4,1.0,19.49,Praia,543,110.0,1,2.27,22,102.0,1981845741.0,104,24,16.7,Praia,72.8,58.0,68.0,Portuguese,23,0.77,60,20,38,12.25,16.5388,-23.0418,364029.0,483628.0,Afrique
Cambodge,95.0,31,181,191.0,22.46,Phnom Penh,9.919,128.0,2,2.5,53,90.0,27089389787.0,107,14,24.0,Phnom Penh,69.6,160.0,0.0,Khmer language,59,0.17,82,17,23,0.68,12.565679,104.990963,3924621.0,16486542.0,Asie
